Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C103, C110, C540, C541",0805,5,0.1 uF,C123316
C102,EEE0GA101SR,1,47 uF,C178500
"C501, C502, C503, C504, C505, C506, C507, C508",0805,8,0.33 uF,
CN1,PinHeader_2x40_P2.54mm_Vertical,1,CN_Conn_02x40_Odd_Even,
FB101,1206,1,FB,C6401928
J101,SolderJumper-3_P1.3mm_Bridged23_RoundedPad1.0x1.5mm_NumberLabels,1,1M Chip,
J102,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,PAL/NTSC,
R101,0805,1,4.7K,C4279556
"R103, R104, R105",0805,3,47,C114743
"RP500, RP501, RP502, RP504",CAY1647R0F4LF,4,47Rx4,
RP503,EXBA10P471J,1,470R x8,
RP503.9,0805,1,470,C4143257
U101,PLCC-84_THT-Socket,1,FAT LADY,
"U501, U502, U503, U504, U505, U506, U507, U508",DIP-20_W7.62mm_LongPads,8,4x256k,
"U540, U541",SOIC127P1030X265-20N,2,SN74F244DWR,
X1,Oscillator_DIP-14,1,28.37516MHz,
